tweet_id,favorites,retweets,user_followers,user_favourites,date_time
679530280114372609,4356,1879,9347681,147241,2015-12-23 05:13:38+00:00
679527802031484928,2415,649,9347681,147241,2015-12-23 05:03:47+00:00
679511351870550016,3064,1143,9347681,147241,2015-12-23 03:58:25+00:00
679503373272485890,2904,1332,9348549,147245,2015-12-23 03:26:43+00:00
679475951516934144,1913,578,9348549,147245,2015-12-23 01:37:45+00:00
679462823135686656,29311,16944,9348549,147245,2015-12-23 00:45:35+00:00
679405845277462528,2155,1073,9348549,147245,2015-12-22 20:59:10+00:00
679158373988876288,19365,7218,9347681,147241,2015-12-22 04:35:49+00:00
679148763231985668,2549,920,9347680,147241,2015-12-22 03:57:37+00:00
679132435750195208,2697,1034,9347680,147241,2015-12-22 02:52:45+00:00
679111216690831360,5419,2306,9347680,147241,2015-12-22 01:28:25+00:00
679062614270468097,15450,7185,9347680,147241,2015-12-21 22:15:18+00:00
679047485189439488,2055,585,9348548,147245,2015-12-21 21:15:11+00:00
679001094530465792,2592,1093,9348548,147245,2015-12-21 18:10:50+00:00
678991772295516161,2067,1015,9347680,147241,2015-12-21 17:33:48+00:00
678969228704284672,1498,408,9347680,147241,2015-12-21 16:04:13+00:00
678800283649069056,2355,817,9347681,147241,2015-12-21 04:52:53+00:00
678798276842360832,3152,1027,9348549,147245,2015-12-21 04:44:55+00:00
678774928607469569,2569,819,9347680,147241,2015-12-21 03:12:08+00:00
678767140346941444,3213,1222,9347680,147241,2015-12-21 02:41:11+00:00
678764513869611008,1478,413,9348548,147245,2015-12-21 02:30:45+00:00
678755239630127104,6458,2920,9347680,147241,2015-12-21 01:53:54+00:00
678740035362037760,3382,1485,9348548,147245,2015-12-21 00:53:29+00:00
678708137298427904,5112,2178,9347680,147241,2015-12-20 22:46:44+00:00
678675843183484930,2595,1315,9347680,147241,2015-12-20 20:38:24+00:00
678643457146150913,1873,359,9348549,147245,2015-12-20 18:29:43+00:00
678446151570427904,3648,1372,9347680,147241,2015-12-20 05:25:42+00:00
678424312106393600,4988,2266,9348548,147245,2015-12-20 03:58:55+00:00
678410210315247616,3814,1607,9348548,147245,2015-12-20 03:02:53+00:00
678399652199309312,73201,28473,9347680,147241,2015-12-20 02:20:55+00:00
678396796259975168,1447,373,9347680,147241,2015-12-20 02:09:34+00:00
678389028614488064,1711,380,9348548,147245,2015-12-20 01:38:42+00:00
678380236862578688,2229,822,9347680,147241,2015-12-20 01:03:46+00:00
678341075375947776,1569,472,9348548,147245,2015-12-19 22:28:09+00:00
678334497360859136,1180,223,9348548,147245,2015-12-19 22:02:01+00:00
678278586130948096,10388,5479,9347680,147241,2015-12-19 18:19:51+00:00
678255464182861824,1446,327,9347680,147241,2015-12-19 16:47:58+00:00
